,id,name,year,rating,genre,director,actor,other actor,area
15176,1438790,怪谈新耳袋 电影版,2004,7.0,恐怖/,吉田秋生/铃木浩介/佐佐木浩久/三宅隆太/丰岛圭介/雨宫庆太/平野俊一,竹中直人/坂井真纪/高冈早纪/堀北真希/北村一辉/更多...,竹中直人/坂井真纪/高冈早纪/堀北真希/北村一辉,日本
15177,2355971,墓地鬼话,1973,6.9,恐怖/奇幻/,Kevin Connor,Peter Cushing/Ian Bannen/Ian Carmichael,PeterCushing/IanBannen/IanCarmichael,英国
15178,4316188,一千灵异夜之灵魂实验,1992,6.9,恐怖/,高林豹,高林豹/张国源/关炳洪,邓浩光/尹天照/杨玉梅/程文意,香港
15179,1298418,夜惊魂,1982,6.7,喜剧/恐怖/,梁普智,卢坚,张艾嘉/郑则仕/任达华/艾迪/金燕玲,香港
15180,1842073,魔女嘉莉,2002,6.6,恐怖/,大卫·卡森,布莱恩·福勒/斯蒂芬·金,安吉拉·贝蒂斯/派翠西娅·克拉克森/丽娜·索弗/坎迪斯·麦克卢尔/艾米莉·德瑞文,美国
15181,1301603,白雪公主,1997,6.6,恐怖/奇幻/,迈克尔 科恩 (Michael Cohn (I)),约翰·J·麦克劳克林/雅各布·格林/Deborah Serra,西格妮·韦弗SigourneyWeaver/山姆·尼尔/吉尔·贝洛,美国
15182,1421885,妖怪大战争,2005,6.5,喜剧/恐怖/家庭/奇幻/冒险/,三池崇史,三池崇史,神木隆之介/宫迫博之/栗山千明/丰川悦司,日本
15183,1389984,塑料树,2003,6.4,剧情/爱情/恐怖/,欧宜善,赵银淑/金仁权/金正铉,赵银淑/金仁权/金正铉,韩国
15184,1507274,鬼眼,1974,6.4,恐怖/,桂治洪,倪匡,陈思佳/思维/夏萍/林伟图/王清河,香港
15185,2181137,僵尸城市,1980,6.4,恐怖/,卢西奥·弗尔兹,卢西奥·弗尔兹,克里斯托弗·乔治/卡特里娜马科尔/CarloDeMejo/AntonellaInterlenghi/GiovanniLombardoRadice,意大利
15186,6860303,最后约翰死了,2012,6.3,喜剧/恐怖/奇幻/,唐·柯斯卡莱利,唐·柯斯卡莱利/David Wong,蔡斯·威廉逊/罗勃·梅耶斯/保罗·吉亚玛提/克兰西·布朗/格林·特鲁曼,美国
